epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1325.2,1.16171,3.09398,1.07306,1.56549,0.86725,0.81496,0.90126,0.54654,0.84103,0.79161,0.84205,0.45519,1.37269,2.32591,1.02421,1.73981,0.000910534,0.000910534,0.000910534
74,1342.02,1.20191,3.15697,1.10628,1.60295,0.88302,0.78565,0.89789,0.5584,0.83218,0.76551,0.83705,0.45585,1.35241,2.28439,0.99004,1.72566,0.000850874,0.000850874,0.000850874
75,1363.82,1.21237,3.10367,1.08934,1.59776,0.8966,0.78202,0.89611,0.55503,0.86856,0.76066,0.83028,0.45583,1.33907,2.30421,1.03337,1.69385,0.000792844,0.000792844,0.000792844
76,1386.02,1.14043,3.08236,1.07046,1.5609,0.90101,0.79179,0.90068,0.56137,0.87047,0.76551,0.84727,0.46289,1.31136,2.27569,1.02523,1.66575,0.000736501,0.000736501,0.000736501
77,1412.07,1.20299,3.17684,1.13537,1.61429,0.88935,0.7804,0.90257,0.55726,0.85791,0.75463,0.84381,0.47363,1.36719,2.27305,1.07808,1.72713,0.000681901,0.000681901,0.000681901
78,1437.1,1.1693,3.11732,1.07456,1.56043,0.85662,0.81335,0.90036,0.57505,0.84341,0.7767,0.84201,0.46909,1.32259,2.27742,1.05417,1.67069,0.000629098,0.000629098,0.000629098
79,1456.46,1.14137,3.07191,1.08378,1.55404,0.86755,0.81734,0.90599,0.59863,0.84394,0.792,0.84643,0.47449,1.24404,2.26317,0.98526,1.59486,0.000578143,0.000578143,0.000578143
80,1478.23,1.13064,2.99831,1.05213,1.53129,0.86071,0.847,0.90503,0.58433,0.86773,0.78261,0.85518,0.46703,1.2867,2.2505,0.97528,1.62453,0.000529088,0.000529088,0.000529088
81,1497.49,1.17344,3.12982,1.09309,1.57292,0.87776,0.83482,0.89889,0.56628,0.85626,0.76775,0.81453,0.45812,1.3304,2.26016,1.02116,1.66962,0.00048198,0.00048198,0.00048198
82,1512.37,1.1126,3.01898,1.03492,1.53951,0.87214,0.82711,0.90072,0.57007,0.821,0.81044,0.83688,0.46335,1.30869,2.26443,1.01896,1.65895,0.000436866,0.000436866,0.000436866
83,1527.4,1.12472,3.01761,1.0416,1.54193,0.88678,0.83583,0.90905,0.56633,0.8483,0.79652,0.83707,0.46349,1.32135,2.28944,1.00714,1.66815,0.000393791,0.000393791,0.000393791
84,1542.4,1.16025,3.09038,1.09047,1.57556,0.91027,0.84305,0.91634,0.56496,0.85969,0.7955,0.82965,0.46167,1.32588,2.29922,0.9899,1.65817,0.000352797,0.000352797,0.000352797
85,1557.86,1.1221,3.05069,1.06024,1.53892,0.89858,0.84468,0.91946,0.57041,0.86514,0.79593,0.85439,0.46677,1.34257,2.28085,0.96611,1.66119,0.000313924,0.000313924,0.000313924
86,1573.16,1.14004,3.05203,1.05972,1.55822,0.87257,0.85699,0.91949,0.57579,0.85501,0.82432,0.85448,0.47338,1.33003,2.27173,0.9575,1.64749,0.000277211,0.000277211,0.000277211
87,1588.26,1.11797,3.0146,1.02593,1.5364,0.89911,0.83658,0.91846,0.57786,0.88052,0.81083,0.85106,0.47471,1.32077,2.27741,0.95517,1.63991,0.000242694,0.000242694,0.000242694
88,1603.22,1.12309,2.94103,1.03643,1.54074,0.89248,0.84361,0.91752,0.57707,0.86927,0.80635,0.85123,0.48021,1.32119,2.25819,0.93443,1.64631,0.000210408,0.000210408,0.000210408
89,1618.21,1.12677,3.01707,1.04054,1.53916,0.88633,0.82245,0.91634,0.58991,0.8665,0.79564,0.85251,0.48479,1.28853,2.23391,0.91701,1.6188,0.000180383,0.000180383,0.000180383
90,1633.12,1.09777,3.00377,1.00706,1.52067,0.90142,0.81945,0.91824,0.60392,0.87991,0.79668,0.85402,0.48661,1.26605,2.23352,0.90844,1.59627,0.00015265,0.00015265,0.00015265
91,1654.36,1.05748,2.91698,1.16217,1.66351,0.87836,0.81122,0.90854,0.59896,0.84881,0.78245,0.84553,0.47353,1.23338,2.32627,0.99571,1.57063,0.000127236,0.000127236,0.000127236
92,1668.94,1.04126,2.82769,1.07177,1.63318,0.85333,0.79827,0.88982,0.57613,0.83404,0.77673,0.83874,0.46757,1.27263,2.36096,1.06503,1.60207,0.000104167,0.000104167,0.000104167
93,1683.39,1.00548,2.71386,0.99854,1.58909,0.87919,0.79339,0.90749,0.57059,0.85173,0.76664,0.83982,0.46487,1.32163,2.3225,1.06639,1.64297,8.34636e-05,8.34636e-05,8.34636e-05
94,1697.82,1.02754,2.74509,0.9735,1.60658,0.8789,0.79301,0.90789,0.55725,0.85602,0.76574,0.84311,0.46415,1.37405,2.27644,1.03393,1.68661,6.51479e-05,6.51479e-05,6.51479e-05
95,1712.24,1.02833,2.72044,0.93401,1.60653,0.86527,0.81982,0.90983,0.55127,0.8307,0.78553,0.84537,0.46256,1.38062,2.25858,1.0017,1.68867,4.92376e-05,4.92376e-05,4.92376e-05
96,1726.93,1.01852,2.6904,0.89877,1.59652,0.87184,0.8215,0.91247,0.56402,0.84509,0.77904,0.8475,0.46847,1.36465,2.24229,0.98064,1.67539,3.57484e-05,3.57484e-05,3.57484e-05
97,1741.43,1.00801,2.67614,0.92023,1.58543,0.86361,0.82735,0.91141,0.57085,0.84202,0.78957,0.84647,0.47184,1.34355,2.21502,0.95698,1.65725,2.46935e-05,2.46935e-05,2.46935e-05
98,1756.11,0.98263,2.63904,0.90699,1.57698,0.86988,0.82474,0.91065,0.57241,0.83462,0.7867,0.84462,0.47406,1.32737,2.21234,0.95164,1.64293,1.6084e-05,1.6084e-05,1.6084e-05
99,1770.44,0.98652,2.64708,0.88904,1.58573,0.8711,0.82635,0.91109,0.57751,0.83308,0.79163,0.84565,0.47767,1.31492,2.20352,0.94466,1.6337,9.92825e-06,9.92825e-06,9.92825e-06
100,1784.85,0.99735,2.59631,0.87247,1.56052,0.86503,0.82597,0.91172,0.58142,0.82995,0.78903,0.84664,0.47703,1.30857,2.20394,0.94162,1.62934,6.23237e-06,6.23237e-06,6.23237e-06
